rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/value_loss,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/std,train/clip_range,train/loss,train/approx_kl,train/policy_gradient_loss,train/entropy_loss
-610.17557805,672,200.0,202752,301,99,840.4133210659027,980,0.944448933005333,0.0003,0.041796875,0.6016203165054321,0.2,583.3226318359375,0.0048152003,-0.003622028302925173,-0.9110416261479258
-585.27970578,672,200.0,204800,304,100,765.5518775939942,990,0.9562148079276085,0.0003,0.02734375,0.6078636646270752,0.2,287.6307067871094,0.00451624,-0.0013919116092438344,-0.9155131800100207
-599.1079991400001,672,200.0,206848,307,101,1274.9371938705444,1000,0.9399124085903168,0.0003,0.03291015625,0.6095824241638184,0.2,568.3214721679688,0.005342416,-0.003401313960785046,-0.9213078653439879
-617.03487471,672,200.0,208896,310,102,612.455469751358,1010,0.9328452423214912,0.0003,0.0501953125,0.6056530475616455,0.2,161.94091796875,0.005570748,-0.003252796086599119,-0.9203561317175627
-612.05082878,672,200.0,210944,313,103,440.59367356300356,1020,0.981696343049407,0.0003,0.050634765625,0.6029780507087708,0.2,119.96675872802734,0.0064025023,-0.003848845212633023,-0.9139804163947701
-629.5760315599999,672,200.0,212992,316,104,697.8748484611511,1030,0.9498933516442776,0.0003,0.03837890625,0.5951070785522461,0.2,310.4667053222656,0.006524578,-0.004880245056119748,-0.9071411253884435
-608.2202697,671,200.0,215040,320,105,517.8222924947738,1040,0.950772799551487,0.0003,0.03056640625,0.6021376848220825,0.2,295.00738525390625,0.0034772288,-0.0024067428734269925,-0.9053810417652131
-558.61361749,671,200.0,217088,323,106,295.4034521818161,1050,0.9851962309330702,0.0003,0.043505859375,0.5992151498794556,0.2,98.75629425048828,0.004817445,-6.866794792586006e-05,-0.9087520927190781
-550.6833326700001,671,200.0,219136,326,107,116.85362507104874,1060,0.9857305837795138,0.0003,0.067626953125,0.5889783501625061,0.2,37.48845291137695,0.0073942887,-0.003966729494277388,-0.8968747263774276
-556.5623515999999,671,200.0,221184,329,108,382.02466173171996,1070,0.9161785766482353,0.0003,0.061767578125,0.5921095609664917,0.2,77.68231201171875,0.005065362,-0.006138834406374372,-0.8918824128806591
-544.2729329499999,671,200.0,223232,332,109,755.6929813861847,1080,0.921338401734829,0.0003,0.02470703125,0.5995180606842041,0.2,196.94874572753906,0.002750637,-0.005167621334112482,-0.9003045279532671
-582.40759053,671,200.0,225280,335,110,922.4916918754577,1090,0.9210882559418678,0.0003,0.037255859375,0.5995615124702454,0.2,475.34820556640625,0.0047113625,-0.0027433074443251825,-0.907508822903037
-546.69212743,671,200.0,227328,338,111,1354.8261894226075,1100,0.9143205061554909,0.0003,0.042724609375,0.5944740176200867,0.2,710.484130859375,0.007560465,-0.0044038831219950225,-0.9036767611280083
-567.3248255899999,671,200.0,229376,341,112,1001.3926587104797,1110,0.9369009286165237,0.0003,0.027099609375,0.5943732261657715,0.2,357.6098327636719,0.004098485,-0.0026362834716564974,-0.8995568074285984
-547.1299801700001,671,200.0,231424,344,113,1401.189560985565,1120,0.9311708435416222,0.0003,0.060009765625,0.5872016549110413,0.2,559.8950805664062,0.007565072,-0.005467404305818491,-0.89295121897012
-563.7496475500001,671,200.0,233472,347,114,1015.1856283187866,1130,0.9529144279658794,0.0003,0.05625,0.5804251432418823,0.2,445.4413757324219,0.0064767115,-0.0036499989306321367,-0.8799374362453818
-546.3505456199999,671,200.0,235520,350,115,1349.4354036331176,1140,0.9355944022536278,0.0003,0.0619140625,0.5789164900779724,0.2,350.93011474609375,0.0055718734,-0.0036646445594669787,-0.8734072327613831
-544.4949004499998,671,200.0,237568,353,116,704.7252388000488,1150,0.9276242107152939,0.0003,0.03212890625,0.5662112236022949,0.2,304.9657897949219,0.0034908715,-0.003386485593364341,-0.8619985001161694
-566.5510050400001,671,200.0,239616,356,117,725.7878684520722,1160,0.9463073648512363,0.0003,0.04853515625,0.5572713017463684,0.2,165.40432739257812,0.006299921,-0.005531222889112541,-0.8422993818297982
-530.0706288900001,671,200.0,241664,359,118,563.5568765640259,1170,0.9721486158668995,0.0003,0.050927734375,0.5569018125534058,0.2,462.52105712890625,0.0033886817,-0.0009152016245934647,-0.8342804646119475
-510.27866806,671,200.0,243712,362,119,240.26579774618148,1180,0.9349319860339165,0.0003,0.040234375,0.5410723090171814,0.2,66.59806060791016,0.008220816,-3.524323983583599e-05,-0.8179360155016184
-511.3888502100001,671,200.0,245760,365,120,563.2735106468201,1190,0.9322651848196983,0.0003,0.052587890625,0.5511789321899414,0.2,93.1005630493164,0.004200448,-0.0034903532825410364,-0.8130492903292179
-492.13848636999995,671,200.0,247808,368,121,862.386208486557,1200,0.7663289457559586,0.0003,0.021875,0.5461716055870056,0.2,312.17108154296875,0.0037792884,6.385263986885547e-07,-0.8194420795887709
-467.3096122300001,671,200.0,249856,371,122,551.6060511112213,1210,0.9441371560096741,0.0003,0.03076171875,0.541742205619812,0.2,105.0021743774414,0.0031574732,-0.0022431746881920846,-0.8106757083907723
-446.4941877499999,671,200.0,251904,375,123,640.2740492343903,1220,0.9293670207262039,0.0003,0.111767578125,0.5404381155967712,0.2,223.03274536132812,0.008564705,-0.005354743117641192,-0.8044235011562705
-419.0507789400001,671,200.0,253952,378,124,166.18508325815202,1230,0.9700471758842468,0.0003,0.06708984375,0.5282087922096252,0.2,55.52175521850586,0.0048366236,-0.000986614398425445,-0.7894346583634615
-415.13522931999995,671,200.0,256000,381,125,253.3534539103508,1240,0.9701532423496246,0.0003,0.036962890625,0.5263043642044067,0.2,82.63863372802734,0.0023965493,-0.002401713789004134,-0.7792008364573121
-425.9040053,671,200.0,258048,384,126,120.85257180333137,1250,0.9765606019645929,0.0003,0.08720703125,0.5218626260757446,0.2,52.52720642089844,0.0038541877,-0.005836571833060589,-0.7733751878142356
-417.08632034999994,671,200.0,260096,387,127,119.11546835303307,1260,0.9897791724652052,0.0003,0.05400390625,0.513728141784668,0.2,38.35322952270508,0.0047069048,-0.006501106896030251,-0.7607967324554921
-424.34296413,671,200.0,262144,390,128,336.77578964233396,1270,0.9560772180557251,0.0003,0.040673828125,0.511687159538269,0.2,119.29840850830078,0.0045413002,-0.0027329582066158765,-0.7510016528889537
-419.48951538,671,200.0,264192,393,129,48.53614483624697,1280,0.9847383433952928,0.0003,0.095751953125,0.5062050819396973,0.2,15.22765827178955,0.013182098,-0.0020279262385884066,-0.7438293408602477
-386.13124829000003,671,200.0,266240,396,130,348.8037121653557,1290,0.8363912105560303,0.0003,0.01806640625,0.5021401643753052,0.2,148.8037567138672,0.0035872594,-0.0005639582363073714,-0.7340656355023384
-388.07322447,671,200.0,268288,399,131,523.136935377121,1300,0.882335938513279,0.0003,0.0271484375,0.5014961957931519,0.2,193.37118530273438,0.0034324373,-0.0009079898445634171,-0.7295296736061573
-409.62857284000006,671,200.0,270336,402,132,386.8757609963417,1310,0.9573992602527142,0.0003,0.021337890625,0.500015914440155,0.2,124.7805404663086,0.0037293234,-0.0002297839408129221,-0.7269997296854853
-407.51499469000004,671,200.0,272384,405,133,748.9371338367462,1320,0.9370539337396622,0.0003,0.042431640625,0.49975821375846863,0.2,505.543212890625,0.005918525,-0.002959675261081429,-0.7262675931677223
-405.63634596,671,200.0,274432,408,134,446.6508502721787,1330,0.905296802520752,0.0003,0.04599609375,0.49409180879592896,0.2,204.5979766845703,0.0062023224,-0.002563139225821942,-0.7194212147966027
