time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/policy_gradient_loss,train/std,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/value_loss
182272,200.0,89,278,654,-895.2282302200001,-0.005606874192017131,0.6278016567230225,880,0.07529296875,185.47129821777344,0.2,0.0073284856,0.0003,0.8038387894630432,-0.9550626326352358,301.37951078414915
184320,200.0,90,281,654,-889.6844994900001,-0.007519389645312913,0.6202726364135742,890,0.09384765625,119.28870391845703,0.2,0.0059827073,0.0003,0.79328852891922,-0.9470546232536435,245.82780120372772
186368,200.0,91,284,654,-888.2212728199997,-0.004336864509969019,0.6198146343231201,900,0.043994140625,140.5670928955078,0.2,0.004144092,0.0003,0.8482927829027176,-0.9397726474329829,219.57997932434083
188416,200.0,92,287,654,-874.4460955299999,-0.006301353347225813,0.6134268641471863,910,0.05341796875,140.1094970703125,0.2,0.0064879293,0.0003,0.8735090494155884,-0.9345813797786832,257.0329701900482
190464,200.0,93,290,654,-861.61857023,-0.004757230381073896,0.6077766418457031,920,0.06337890625,105.9681396484375,0.2,0.008933393,0.0003,0.8861664459109306,-0.9253650920465588,216.75230686664582
192512,200.0,94,293,654,-833.57631321,-0.007264949298405554,0.6140562891960144,930,0.0962890625,87.0485610961914,0.2,0.0077814558,0.0003,0.8417550325393677,-0.9262956263497472,250.90609049797058
194560,200.0,95,297,654,-809.3703924799999,-0.01171254124637926,0.6111755967140198,940,0.11337890625,92.09744262695312,0.2,0.0077003497,0.0003,0.8715740293264389,-0.9293134829029441,187.7830358028412
196608,200.0,96,300,655,-791.8748026600001,-0.007659068764769472,0.6016246676445007,950,0.06455078125,83.90492248535156,0.2,0.007655668,0.0003,0.8676804155111313,-0.9175734581425786,214.5114408493042
198656,200.0,97,303,655,-764.0296870500001,-0.006116904664668255,0.5886313915252686,960,0.07734375,62.46543884277344,0.2,0.007470974,0.0003,0.9232300743460655,-0.8983906451612711,192.94405748844147
200704,200.0,98,306,655,-734.0190521200003,-0.005999596688343445,0.5700842142105103,970,0.06025390625,82.4203872680664,0.2,0.0071951067,0.0003,0.9062365517020226,-0.8707824900746346,178.46837668418885
202752,200.0,99,309,655,-715.0645198100001,-0.0071343042640364725,0.5602456331253052,980,0.066845703125,79.11267852783203,0.2,0.007847802,0.0003,0.9407244324684143,-0.8467071674764156,215.97716143131257
204800,200.0,100,312,655,-688.0003380800001,-0.013908217373318621,0.5596985220909119,990,0.106396484375,94.0514907836914,0.2,0.008623174,0.0003,0.9466720521450043,-0.8389533212408423,183.42501859664918
206848,200.0,101,315,655,-651.06920884,-0.01408143637527246,0.551364004611969,1000,0.127978515625,129.16024780273438,0.2,0.013761263,0.0003,0.9627005383372307,-0.8299880100414156,180.76030113697053
208896,200.0,102,318,655,-623.06862551,-0.011283456963428761,0.5461326241493225,1010,0.115966796875,77.56771850585938,0.2,0.009558697,0.0003,0.9633528962731361,-0.8170719729736448,163.20761306285857
210944,200.0,103,321,655,-588.3310065999999,-0.006108261832559947,0.539654016494751,1020,0.066064453125,116.38447570800781,0.2,0.0062958635,0.0003,0.9392730891704559,-0.808629022166133,255.55607385635375
212992,200.0,104,324,655,-552.5851856599999,-0.001383458002237603,0.5336824059486389,1030,0.0318359375,97.5876693725586,0.2,0.0036986272,0.0003,0.9158754423260689,-0.7969946390017867,274.9992612361908
215040,200.0,105,327,655,-503.67672869999996,-0.006581930664106039,0.5333921909332275,1040,0.0849609375,28.578733444213867,0.2,0.010077212,0.0003,0.9754475355148315,-0.7899491753429174,148.5922849535942
217088,200.0,106,331,655,-457.64608518999995,-0.002068145841622027,0.5246545076370239,1050,0.069775390625,15.951415061950684,0.2,0.0068055517,0.0003,0.9858329258859158,-0.7821958385407924,77.66817635297775
219136,200.0,107,334,655,-426.1476968300001,0.0012681822277954779,0.5227537155151367,1060,0.0263671875,35.05280303955078,0.2,0.002246494,0.0003,0.9553574249148369,-0.771002595499158,132.37690423727037
221184,200.0,108,337,655,-378.62693315,-0.00034443322801962494,0.5242456197738647,1070,0.1484375,31.77008628845215,0.2,0.013256723,0.0003,0.9850012576207519,-0.7714672178030014,62.44125321209431
223232,200.0,109,340,655,-336.2186270599999,-0.00033521485529490745,0.5193557739257812,1080,0.023388671875,99.9544677734375,0.2,0.0031911465,0.0003,0.877646803855896,-0.7673957934603095,189.12678657770158
225280,200.0,110,343,655,-322.94009979,-0.00034711389562289694,0.5184067487716675,1090,0.050244140625,22.24747657775879,0.2,0.0032088761,0.0003,0.9498879909515381,-0.763301494717598,85.24634781181813
227328,200.0,111,346,655,-314.02099675,-8.395575277972967e-05,0.5167703628540039,1100,0.031201171875,137.75672912597656,0.2,0.0057172794,0.0003,0.8976866155862808,-0.7605358095839619,328.03566019535066
229376,200.0,112,349,656,-287.08695781,-0.002405541453481419,0.5177026391029358,1110,0.034765625,96.80227661132812,0.2,0.005134176,0.0003,0.9135968685150146,-0.7594718720763922,301.29229321479795
231424,200.0,113,352,656,-274.90291527,-0.003543664402968716,0.5056976079940796,1120,0.072998046875,7.16039514541626,0.2,0.007737552,0.0003,0.9433675929903984,-0.7494055107235909,65.88704912364483
233472,200.0,114,355,656,-270.71080447,-0.0020297200891945975,0.5061644911766052,1130,0.033935546875,69.34741973876953,0.2,0.0066073798,0.0003,0.900800921022892,-0.7369302734732628,172.03091125488282
235520,200.0,115,359,654,-281.28680539,-0.002851881551760016,0.5051521062850952,1140,0.041015625,78.36001586914062,0.2,0.0034322832,0.0003,0.9274261891841888,-0.7369827013462782,261.52670575380324
237568,200.0,116,363,653,-279.77152624,-0.0036125758750131355,0.5081507563591003,1150,0.046875,177.80506896972656,0.2,0.0050150817,0.0003,0.9420189037919044,-0.7384766690433026,341.4710572242737
