time/total_timesteps,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,train/ent_coef,train/n_updates,train/ent_coef_loss,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,time/episodes,time/fps
100716,754.64,2.616414785385132,2296,0.0030054105445742607,100615,-2.116419792175293,0.0003,0.37751102447509766,-93.88558505,152,43
104161,771.45,2.083306074142456,2378,0.002840719185769558,104060,-2.7726733684539795,0.0003,0.19349539279937744,-91.57070155000001,156,43
110561,771.45,1.2201493978500366,2530,0.0027846605516970158,110460,-1.9255770444869995,0.0003,0.21207201480865479,-90.54920155999999,160,43
116961,832.04,0.8299713134765625,2683,0.0035615127999335527,116860,-0.7933735847473145,0.0003,0.18388795852661133,-88.91486654999999,164,43
118731,785.74,3.4472782611846924,2725,0.003738582134246826,118630,1.8471529483795166,0.0003,0.38993626832962036,-89.49945767000001,168,43
119001,769.8,1.2535380125045776,2732,0.003682701149955392,118900,-0.9300163984298706,0.0003,0.435094952583313,-89.56823323999997,172,43
121141,757.55,2.249419927597046,2783,0.003945347387343645,121040,-0.06466031074523926,0.0003,0.5701839327812195,-90.27639185,176,43
122139,733.26,2.3879265785217285,2807,0.003817428834736347,122038,0.03482471778988838,0.0003,0.7772636413574219,-90.34157751000001,180,43
122974,707.04,1.957486867904663,2827,0.0036269184201955795,122873,-0.02701389789581299,0.0003,0.3012634515762329,-90.70560408999998,184,43
123612,649.42,0.5667058229446411,2843,0.0036033072974532843,123511,-2.073060989379883,0.0003,0.27967312932014465,-91.23855443000001,188,43
124420,621.62,0.8332905769348145,2862,0.0036203283816576004,124319,-1.2697410583496094,0.0003,0.6425913572311401,-90.73089003000003,192,43
126655,635.97,1.7473162412643433,2916,0.004087276291102171,126554,1.195393681526184,0.0003,0.7064359784126282,-86.77609523999999,196,43
128523,636.39,1.1296168565750122,2961,0.004081853665411472,128422,-1.133021593093872,0.0003,0.4169986844062805,-84.32531683,200,43
134923,651.72,-0.5089734196662903,3114,0.004554110579192638,134822,1.8281081914901733,0.0003,0.5655554533004761,-73.0028363,204,43
141323,712.69,-0.7387374639511108,3267,0.003953173756599426,141222,-0.478870153427124,0.0003,0.2321191430091858,-60.00359996,208,43
146199,743.43,-1.2721744775772095,3385,0.004211417865008116,146098,1.3923029899597168,0.0003,0.4100389778614044,-50.706903299999986,212,43
151674,795.47,-2.6992547512054443,3517,0.004205287434160709,151573,-0.7935534715652466,0.0003,0.13564902544021606,-40.06230037999999,216,43
158074,856.35,-1.9230602979660034,3671,0.00400262326002121,157973,2.448596239089966,0.0003,0.766338586807251,-28.05878322,220,43
164474,917.46,-2.6161446571350098,3825,0.0040285359136760235,164373,1.8802727460861206,0.0003,0.6080093383789062,-13.942874709999996,224,42
170830,932.36,-3.124732255935669,3981,0.004817010369151831,170729,-0.6908775568008423,0.0003,0.8893080949783325,0.635960070000001,228,42
177023,930.29,-4.945319175720215,4132,0.00667542964220047,176922,-0.06524556875228882,0.0003,0.33670294284820557,14.706001529999998,232,42
181051,931.59,-5.225929260253906,4230,0.005979329813271761,180950,0.14650093019008636,0.0003,0.2734656035900116,20.55169766,236,42
185891,954.61,-6.330238342285156,4348,0.004987446125596762,185790,-0.7077980041503906,0.0003,0.6723204255104065,30.44019377,240,42
189038,951.16,-4.481289863586426,4425,0.0045529380440711975,188937,2.5916993618011475,0.0003,0.9280996322631836,33.98551965,244,42
190329,943.34,-6.022249698638916,4457,0.004407654050737619,190228,-2.019285202026367,0.0003,0.47105538845062256,34.77916476,248,42
192553,918.37,-3.3938727378845215,4511,0.004361412022262812,192452,1.6972332000732422,0.0003,0.49314430356025696,36.42085806,252,42
196801,926.4,-5.106589317321777,4614,0.00455809710547328,196700,-1.6567333936691284,0.0003,0.2608690857887268,43.807559600000005,256,42
203163,926.02,-4.171830654144287,4770,0.004838430788367987,203062,2.628995895385742,0.0003,0.6145208477973938,57.112262599999994,260,42
209295,923.34,-5.687865257263184,4920,0.004767312668263912,209194,-1.5360256433486938,0.0003,0.47135743498802185,70.88011122,264,42
215081,963.5,-6.685002326965332,5062,0.004577300976961851,214980,0.22884495556354523,0.0003,0.23949700593948364,86.08368841,268,42
219348,1003.47,-7.3421950340271,5166,0.004985032603144646,219247,1.930507779121399,0.0003,0.23974652588367462,96.51891276000002,272,42
225196,1040.55,-8.125753402709961,5311,0.005054728128015995,225095,-1.0319578647613525,0.0003,0.1728140413761139,111.55235318000001,276,42
230951,1088.12,-7.2817583084106445,5452,0.0051673282869160175,230850,-1.7468080520629883,0.0003,0.15484894812107086,126.78440079,280,42
236634,1136.6,-6.8275227546691895,5591,0.005068332888185978,236533,1.6308724880218506,0.0003,0.27045339345932007,141.8851684,284,42
242162,1185.5,-8.1131591796875,5727,0.004934166092425585,242061,-0.4680871367454529,0.0003,0.22292447090148926,157.08208847999998,288,42
247670,1232.5,-9.34682559967041,5864,0.0048268926329910755,247569,-0.45682647824287415,0.0003,1.024049997329712,172.03550178999998,292,42
253310,1266.55,-7.227137565612793,6003,0.004594573751091957,253209,-0.888562023639679,0.0003,0.18565145134925842,184.46689518000002,296,42
258805,1302.82,-9.315529823303223,6139,0.004588371608406305,258704,0.8315979242324829,0.0003,0.17723992466926575,197.50466775000004,300,42
264349,1294.26,-9.420698165893555,6276,0.004830495920032263,264248,-1.1603379249572754,0.0003,0.08050786703824997,200.93093471,304,42
269859,1285.36,-9.282090187072754,6413,0.0048927622847259045,269758,-0.9257912635803223,0.0003,0.2007596641778946,203.70722876999997,308,42
275264,1290.65,-11.048635482788086,6547,0.004850671626627445,275163,-0.41342291235923767,0.0003,0.3383139967918396,209.83079664000002,312,42
