rollout/ep_len_mean,train/n_updates,time/fps,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,time/episodes,train/actor_loss
466.98,62202,48,7.5958356857299805,62303,1273,-128.95526045,0.001,240,19.481983184814453
513.66,67154,48,3.2432010173797607,67255,1388,-130.71545616999998,0.001,244,19.297693252563477
565.97,72659,47,3.8260087966918945,72760,1522,-129.91896279,0.001,248,16.713275909423828
586.72,75103,47,3.4723548889160156,75204,1584,-129.67193941000002,0.001,252,14.784570693969727
613.82,78171,47,3.081848382949829,78272,1665,-130.75889356,0.001,256,17.214866638183594
671.35,84332,45,4.178459644317627,84433,1835,-130.70266739000002,0.001,260,17.496658325195312
726.42,90732,45,4.276158809661865,90833,2015,-129.33305013,0.001,264,16.664278030395508
766.98,95604,44,3.0655884742736816,95705,2152,-128.87830363,0.001,268,16.58816146850586
824.9,102004,43,3.0304508209228516,102105,2333,-124.84101985,0.001,272,16.481639862060547
866.44,106872,43,1.7099032402038574,106973,2472,-119.46813028999999,0.001,276,16.077606201171875
908.78,111894,42,2.043797016143799,111995,2618,-113.04837547999999,0.001,280,14.742859840393066
951.15,118294,42,1.8855161666870117,118395,2816,-101.36664090000001,0.001,284,12.477887153625488
1006.01,124694,41,1.7318629026412964,124795,3018,-89.11980326999998,0.001,288,11.533488273620605
1035.89,129558,40,2.2351465225219727,129659,3170,-80.41770058000002,0.001,292,10.750364303588867
1083.42,135958,40,2.0039587020874023,136059,3364,-79.86884823,0.001,296,9.252433776855469
1098.87,140911,40,2.046015501022339,141012,3515,-78.17073355999999,0.001,300,9.99570083618164
1098.5,144271,39,2.2609782218933105,144372,3619,-77.20232152,0.001,304,9.630188941955566
1114.73,150671,39,2.472214698791504,150772,3820,-75.98574207,0.001,308,9.474225044250488
1130.49,155917,39,1.4491989612579346,156018,3983,-74.36452842,0.001,312,7.509737968444824
1132.26,160800,38,2.203451156616211,160901,4136,-66.75690001999999,0.001,316,5.569129467010498
1169.56,165879,38,1.7224557399749756,165980,4295,-57.0182671,0.001,320,6.003957748413086
1211.08,171232,38,1.230839729309082,171333,4463,-46.73300824999999,0.001,324,4.161541938781738
1244.17,177230,38,1.8380718231201172,177331,4651,-31.607841229999995,0.001,328,4.9897356033325195
1276.46,182977,37,1.5849868059158325,183078,4831,-17.28693797,0.001,332,2.061655044555664
1318.38,188192,37,1.0198237895965576,188293,4994,-2.322081610000001,0.001,336,3.55452823638916
1312.01,193403,37,1.2506201267242432,193504,5160,13.069004139999997,0.001,340,2.574464797973633
1317.23,198877,37,1.6615939140319824,198978,5332,28.60839448,0.001,344,2.5482945442199707
1314.64,204123,37,3.506331443786621,204224,5497,41.67335075999999,0.001,348,1.640026569366455
1337.93,208896,37,1.701568841934204,208997,5647,52.15870326000001,0.001,352,2.758270263671875
1356.5,213821,36,1.3933093547821045,213922,5803,67.59415254000001,0.001,356,3.346047878265381
1344.41,218773,36,1.83695650100708,218874,5961,82.05241689999998,0.001,360,0.9446801543235779
1327.12,223444,36,1.409186840057373,223545,6109,96.32727624,0.001,364,-0.0197756290435791
1326.46,228250,36,0.9632357358932495,228351,6261,111.06778044,0.001,368,-1.2428151369094849
1307.8,232784,36,1.0452182292938232,232885,6405,121.87599965999999,0.001,372,-1.8227604627609253
1307.7,237642,36,2.540248394012451,237743,6559,132.02196243,0.001,376,0.2009422481060028
1305.5,242444,36,1.4277186393737793,242545,6715,141.3703512,0.001,380,-3.3067288398742676
1293.74,247668,35,1.4185022115707397,247769,6883,146.1918593,0.001,384,-1.3182889223098755
1276.11,252305,35,1.9235904216766357,252406,7030,149.38963271,0.001,388,-2.159152030944824
1274.02,256960,35,0.999453067779541,257061,7178,157.56060140000002,0.001,392,-3.32106614112854
1256.22,261580,35,1.0680510997772217,261681,7324,173.72787490999997,0.001,396,-4.429372310638428
1253.26,266237,35,1.1944527626037598,266338,7474,188.79306749,0.001,400,-6.440690040588379
1264.33,270704,35,0.885445237159729,270805,7616,203.49721972999998,0.001,404,-5.572364807128906
1244.66,275137,35,3.264831066131592,275238,7757,218.96385541,0.001,408,-5.032659530639648
1236.62,279579,35,2.0620203018188477,279680,7898,233.15760123,0.001,412,-6.499910354614258
1231.0,283900,35,2.2733116149902344,284001,8035,242.31057356000005,0.001,416,-4.3536248207092285
1224.28,288307,35,1.8299888372421265,288408,8175,248.90398815000003,0.001,420,-6.361198902130127
1215.22,292754,35,1.2100002765655518,292855,8326,254.20652564,0.001,424,-5.413990497589111
1199.7,297200,35,1.3409698009490967,297301,8476,255.48180963,0.001,428,-7.6045732498168945
1186.05,301582,34,1.214968204498291,301683,8623,256.54951243000005,0.001,432,-6.7618560791015625
1178.09,306001,34,1.171783208847046,306102,8773,257.14125026,0.001,436,-5.830758094787598
1170.98,310501,34,4.383905410766602,310602,8929,257.57938332,0.001,440,-7.036975383758545
1160.05,314882,34,1.2068705558776855,314983,9077,258.4138016,0.001,444,-7.112814903259277
1151.79,319302,34,0.8359853029251099,319403,9227,259.26162419,0.001,448,-9.074898719787598
1147.88,323684,34,5.4204936027526855,323785,9376,263.50268628,0.001,452,-5.783480644226074
1144.25,328246,34,1.701937198638916,328347,9531,263.7765712,0.001,456,-8.803791046142578
1138.0,332573,34,1.076581597328186,332674,9678,264.19578225,0.001,460,-10.420806884765625
1134.09,336853,34,1.396167516708374,336954,9823,264.24390284000003,0.001,464,-7.382346153259277
1129.16,341166,34,0.44517356157302856,341267,9970,264.38530606999996,0.001,468,-10.212358474731445
1128.66,345650,34,0.7472710013389587,345751,10123,264.3367979,0.001,472,-10.867657661437988
1124.06,350048,34,2.727048397064209,350149,10273,264.44478700999997,0.001,476,-9.862448692321777
1120.92,354536,34,0.8908276557922363,354637,10426,264.4663914,0.001,480,-9.634586334228516
1113.44,359012,33,1.0705976486206055,359113,10578,264.92885201999997,0.001,484,-11.075401306152344
1111.32,363437,33,1.1872907876968384,363538,10730,265.04175259,0.001,488,-10.502260208129883
1110.24,367984,33,1.3207244873046875,368085,10884,265.37840079,0.001,492,-9.187411308288574
1108.98,372478,33,0.950402021408081,372579,11038,265.59692014999996,0.001,496,-12.421645164489746
1106.08,376845,33,1.0233700275421143,376946,11186,265.86970013999996,0.001,500,-10.773239135742188
1104.4,381144,33,1.0778934955596924,381245,11333,266.03039465999996,0.001,504,-11.48592472076416
1104.18,385555,33,1.259791374206543,385656,11483,266.04120018000003,0.001,508,-11.886324882507324
1104.45,390024,33,3.3081603050231934,390125,11636,266.02422423999997,0.001,512,-11.37916374206543
