time/fps,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/n_updates,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,train/learning_rate
33,5.18652868270874,223.15949861999997,13277,912,446507,446608,8.643653869628906,391.22,0.001
33,3.3000378608703613,225.84268105000004,13320,916,447833,447934,3.372922420501709,389.21,0.001
33,4.149923801422119,229.62268263,13372,920,449428,449529,10.283316612243652,391.24,0.001
33,5.975261688232422,236.92509250000003,13415,924,450747,450848,10.888544082641602,392.99,0.001
33,4.681754112243652,241.73524867000003,13458,928,452038,452139,54.21858215332031,390.56,0.001
33,3.8797967433929443,238.75673716999998,13495,932,453186,453287,12.467340469360352,388.99,0.001
33,5.7617621421813965,235.46126571000002,13540,936,454573,454674,11.892672538757324,390.05,0.001
33,4.248211860656738,233.16958261999997,13582,940,455863,455964,50.936370849609375,385.69,0.001
33,4.68107795715332,234.58987559999997,13625,944,457171,457272,21.10390853881836,383.98,0.001
33,3.690338611602783,233.97037377999993,13681,948,458896,458997,11.625789642333984,384.19,0.001
33,5.060461044311523,233.45870195999998,13719,952,460034,460135,10.03293228149414,381.87,0.001
33,2.282672166824341,232.20239527,13751,956,461026,461127,15.322254180908203,376.06,0.001
33,3.122581958770752,233.75907927,13783,960,461993,462094,6.188780784606934,364.13,0.001
33,7.452489852905273,230.63303416999995,13810,964,462811,462912,46.71239471435547,352.82,0.001
33,2.879070997238159,223.06445227999995,13839,968,463694,463795,11.274328231811523,341.86,0.001
33,0.7065898180007935,223.5992649,13869,972,464611,464712,5.076062202453613,336.45,0.001
33,5.267728805541992,221.04177665999998,13893,976,465352,465453,8.169185638427734,321.94,0.001
33,3.534541606903076,220.71987124999998,13920,980,466158,466259,12.500720977783203,308.28,0.001
33,4.990868091583252,221.93032487,13943,984,466879,466980,6.56410026550293,300.03,0.001
33,3.9436087608337402,223.98308449999996,13973,988,467789,467890,9.097919464111328,294.73,0.001
33,2.3770172595977783,224.82672569000002,14000,992,468606,468707,5.446315765380859,288.38,0.001
33,2.4901816844940186,220.47529346000002,14029,996,469518,469619,7.28706693649292,285.45,0.001
33,3.7374191284179688,219.31022803,14062,1000,470523,470624,34.279808044433594,284.06,0.001
33,0.8958932161331177,217.80577964000003,14085,1004,471236,471337,7.939583778381348,278.51,0.001
33,1.9237231016159058,216.70003361000002,14109,1008,471954,472055,4.820188045501709,268.93,0.001
33,2.220982313156128,212.75752815000004,14132,1012,472650,472751,33.146034240722656,261.43,0.001
33,1.8847618103027344,212.68766306999999,14155,1016,473381,473482,40.274131774902344,255.48,0.001
33,1.7407307624816895,212.75727618000005,14181,1020,474156,474257,8.592978477478027,247.28,0.001
33,1.9784172773361206,210.60711017999998,14210,1024,475041,475142,32.845176696777344,242.94,0.001
33,0.024250328540802002,206.16124735999995,14236,1028,475849,475950,21.082496643066406,238.11,0.001
33,1.8132703304290771,202.38257062999998,14264,1032,476699,476800,8.460616111755371,235.13,0.001
33,2.5467522144317627,206.58168052000002,14297,1036,477720,477821,15.997773170471191,231.47,0.001
33,0.7573537230491638,210.02227349000003,14333,1040,478820,478921,6.798367500305176,229.57,0.001
33,-3.2028493881225586,209.85553693000003,14373,1044,480034,480135,4.878767967224121,228.63,0.001
33,2.8232064247131348,212.77939924000003,14413,1048,481273,481374,38.81504440307617,223.77,0.001
33,1.1768202781677246,213.18568706000005,14443,1052,482202,482303,12.318111419677734,221.68,0.001
33,3.239055633544922,213.63269976,14472,1056,483075,483176,11.789596557617188,220.49,0.001
33,0.04687178134918213,214.04260285000004,14504,1060,484049,484150,11.883649826049805,220.56,0.001
33,1.7809252738952637,216.06177728,14534,1064,484975,485076,6.262660026550293,221.64,0.001
33,1.302333950996399,224.58137446,14571,1068,486118,486219,14.829404830932617,224.24,0.001
33,0.18964233994483948,218.30005133000003,14617,1072,487507,487608,8.915925979614258,228.96,0.001
33,0.9651042819023132,222.60393491000002,14657,1076,488759,488860,44.20545196533203,234.07,0.001
33,-1.3613405227661133,220.79836675,14692,1080,489806,489907,20.967361450195312,236.48,0.001
33,-0.4766072630882263,217.8647816,14730,1084,490983,491084,15.128691673278809,241.04,0.001
33,2.655296802520752,216.3971466,14762,1088,491960,492061,45.51713943481445,241.71,0.001
33,-2.8092172145843506,210.86501925000002,14796,1092,492988,493089,12.728221893310547,243.82,0.001
33,-0.2670009136199951,215.93094471999996,14835,1096,494200,494301,8.753844261169434,246.82,0.001
33,-2.8611011505126953,214.28017137999998,14872,1100,495318,495419,16.44756317138672,247.95,0.001
33,-4.94257926940918,213.93636262,14910,1104,496482,496583,8.725038528442383,252.46,0.001
33,-2.7005627155303955,216.06209830000003,14939,1108,497378,497479,8.581132888793945,254.24,0.001
33,-6.00321626663208,217.65449676,14966,1112,498209,498310,5.536574363708496,255.59,0.001
33,-6.053775310516357,216.90701204000004,15007,1116,499464,499565,6.288674354553223,260.83,0.001
33,-5.27526330947876,218.40725832,15045,1120,500619,500720,6.524538993835449,264.63,0.001
33,-9.751052856445312,221.49800134,15071,1124,501409,501510,9.977614402770996,263.68,0.001
33,-8.131016731262207,225.67310896000006,15098,1128,502246,502347,9.138961791992188,263.97,0.001
33,-5.1195068359375,229.07312159999995,15122,1132,502978,503079,25.24795913696289,262.79,0.001
33,-9.259031295776367,228.10736047999995,15159,1136,504112,504213,8.00554084777832,263.92,0.001
33,-7.934645175933838,217.98216931000002,15182,1140,504820,504921,25.433582305908203,260.0,0.001
