time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
6163,244815,807.07,79.31029872,39,496,6.821450710296631,0.001,234814,-0.1210169792175293
6219,246657,785.49,81.21524996000001,39,500,3.203735828399658,0.001,236656,-0.9080382585525513
6281,248720,767.55,86.05741516999997,39,504,6.490229606628418,0.001,238719,-1.7208913564682007
6341,250741,751.03,91.09699378,39,508,7.704608917236328,0.001,240740,0.11017285287380219
6415,253161,736.18,96.78900150999999,39,512,9.414609909057617,0.001,243160,2.138026475906372
6509,256267,741.84,92.62370811,39,516,2.89052414894104,0.001,246266,1.2015447616577148
6588,258901,737.08,96.91828685,39,520,103.7602310180664,0.001,248900,0.6738014817237854
6664,261425,726.23,99.60845916999999,39,524,42.78369140625,0.001,251424,-1.1148685216903687
6726,263450,708.12,106.87030442000001,39,528,6.948190212249756,0.001,253449,-0.514521062374115
6779,265222,685.84,118.16871556000004,39,532,6.525803565979004,0.001,255221,0.7886490821838379
6831,266923,670.01,112.75643376,39,536,4.6575517654418945,0.001,256922,-1.014517903327942
6864,268004,641.0,117.30560958000002,39,540,3.958298921585083,0.001,258003,0.26001614332199097
6922,269920,631.92,119.66946388000001,38,544,3.5038063526153564,0.001,259919,0.6671059131622314
6982,271919,624.28,117.95672826,38,548,3.803612232208252,0.001,261918,-0.16443924605846405
7028,273423,612.46,119.30700447000001,38,552,1.9669971466064453,0.001,263422,-1.1043201684951782
7094,275572,596.75,128.58503778,38,556,4.156338691711426,0.001,265571,-1.0419734716415405
7151,277422,585.28,132.01482775000002,38,560,6.495169639587402,0.001,267421,-1.2176215648651123
7201,279063,565.42,139.07898240000003,38,564,9.307531356811523,0.001,269062,-1.9502017498016357
7269,281283,560.44,141.41582817,38,568,3.885636806488037,0.001,271282,-1.0518152713775635
7341,283623,555.53,142.27228593,38,572,6.520810604095459,0.001,273622,-1.7881914377212524
7393,285321,540.12,145.14302276,38,576,4.309229373931885,0.001,275320,-2.4570136070251465
7453,287302,528.51,144.22741872,38,580,3.5490219593048096,0.001,277301,-4.186041355133057
7492,288575,515.88,142.86031280999998,38,584,3.374358654022217,0.001,278574,-1.7449102401733398
7542,290211,504.04,145.48077264999998,38,588,6.102328777313232,0.001,280210,-5.615675926208496
7582,291503,497.7,148.35264765,38,592,20.36278533935547,0.001,281502,-5.085638046264648
7654,293854,490.39,155.43226140000002,38,596,6.729543685913086,0.001,283853,-7.440192222595215
7674,294502,478.45,158.95170032,38,600,4.342854976654053,0.001,284501,-10.448201179504395
7703,295434,467.14,159.51573281,38,604,2.449962615966797,0.001,285433,-8.264381408691406
7735,296495,457.54,161.81920901,38,608,2.678816795349121,0.001,286494,-7.356594085693359
7762,297348,441.87,162.16114291999997,38,612,48.62018585205078,0.001,287347,-9.566106796264648
7813,299037,427.7,168.28106497000002,38,616,4.014683246612549,0.001,289036,-6.536871910095215
7846,300116,412.15,169.40585159999998,38,620,28.35071563720703,0.001,290115,-8.519103050231934
