rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
576.97,153401,392,63.054100399999996,46,3270,0.001,75.5946044921875,-6.42279052734375,143400
569.76,155226,396,67.02630881,46,3320,0.001,9.390172958374023,-8.409832000732422,145225
577.4,157789,400,68.80050677,46,3390,0.001,48.84905242919922,-10.028623580932617,147788
582.09,160758,404,73.70733625,46,3472,0.001,7.186613082885742,-8.243383407592773,150757
592.99,163612,408,76.15824126,46,3550,0.001,13.491241455078125,-11.765549659729004,153611
593.91,166285,412,74.23813073999997,45,3624,0.001,7.346342086791992,-9.421792984008789,156284
597.44,169025,416,79.23255810999999,45,3701,0.001,8.321023941040039,-12.648896217346191,159024
599.63,171744,420,85.42497924,45,3776,0.001,5.174053192138672,-9.444644927978516,161743
605.4,174245,424,96.48281176999997,45,3846,0.001,39.80896759033203,-10.571784019470215,164244
604.68,177183,428,102.92176454,45,3928,0.001,13.263916015625,-8.709098815917969,167182
606.65,180044,432,97.90118017999997,44,4009,0.001,10.428936958312988,-9.169204711914062,170043
612.71,183126,436,94.49524293999998,44,4097,0.001,44.015663146972656,-9.338387489318848,173125
616.43,185882,440,98.33286434,44,4177,0.001,11.075752258300781,-7.543896675109863,175881
599.99,187200,444,103.08773956,44,4215,0.001,10.370370864868164,-9.439026832580566,177199
601.36,189882,448,110.50787888999997,44,4293,0.001,34.563690185546875,-9.83674430847168,179881
593.99,192526,452,114.66468904999999,44,4370,0.001,10.965425491333008,-8.28900146484375,182525
598.35,195041,456,115.70980150999999,43,4443,0.001,4.797126770019531,-7.436261177062988,185040
586.67,197208,460,120.60375982000001,43,4506,0.001,6.736764430999756,-9.768773078918457,187207
580.38,198899,464,122.98999135,43,4556,0.001,18.321861267089844,-10.626641273498535,188898
566.55,200428,468,120.62515602000002,43,4601,0.001,9.389659881591797,-8.973198890686035,190427
585.97,203781,472,114.44308782000002,43,4698,0.001,19.364299774169922,-9.614045143127441,193780
586.48,206199,476,111.59738059999998,43,4769,0.001,8.307931900024414,-9.976524353027344,196198
599.69,208859,480,105.71654388,43,4847,0.001,3.3071916103363037,-8.101078987121582,198858
598.13,210061,484,100.26589558999999,43,4883,0.001,33.8497200012207,-9.29497241973877,200060
