rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_loss,train/n_updates
951.89,263532,364,9.223388840000002,47,5539,1.0394248962402344,0.0003,0.10000000149011612,5.717083930969238,253531
951.89,267532,368,10.312823769999998,47,5628,0.7203624248504639,0.0003,0.10000000149011612,3.2997498512268066,257531
950.47,271390,372,9.90034524,47,5714,0.8437976837158203,0.0003,0.10000000149011612,7.201671123504639,261389
944.49,274792,376,16.376334280000002,47,5789,1.3823647499084473,0.0003,0.10000000149011612,5.9921369552612305,264791
944.49,278792,380,17.62788665,47,5878,2.432983160018921,0.0003,0.10000000149011612,5.902555465698242,268791
936.63,282006,384,20.78153072,47,5949,2.0092554092407227,0.0003,0.10000000149011612,6.3414306640625,272005
927.9,285133,388,24.398120060000007,47,6018,0.5984870791435242,0.0003,0.10000000149011612,1.2702709436416626,275132
918.46,288189,392,28.49579099,47,6086,1.4573231935501099,0.0003,0.10000000149011612,4.831565856933594,278188
913.3,291673,396,32.25290965,47,6163,0.350283145904541,0.0003,0.10000000149011612,3.382255792617798,281672
902.49,294592,400,35.79012804,47,6228,1.6017427444458008,0.0003,0.10000000149011612,5.666491508483887,284591
899.31,298274,404,39.27073935000001,47,6310,1.8956413269042969,0.0003,0.10000000149011612,3.6390604972839355,288273
894.7,301813,408,42.28028372000001,47,6389,4.945796012878418,0.0003,0.10000000149011612,5.050484657287598,291812
894.47,305790,412,44.44650091000001,47,6477,1.7478432655334473,0.0003,0.10000000149011612,5.1998491287231445,295789
889.74,309317,416,47.78342899000001,47,6556,0.8876850008964539,0.0003,0.10000000149011612,1.6454229354858398,299316
892.52,312931,420,48.66655179,47,6636,0.9210572838783264,0.0003,0.10000000149011612,3.4623019695281982,302930
887.57,316436,424,49.287516000000004,47,6714,1.0339869260787964,0.0003,0.10000000149011612,4.385734558105469,306435
872.11,318890,428,48.025440530000004,47,6769,0.5878373980522156,0.0003,0.10000000149011612,3.856820821762085,308889
870.6,322251,432,48.38074514,47,6844,0.6365386247634888,0.0003,0.10000000149011612,4.492615699768066,312250
870.1,325296,436,53.103541590000006,47,6911,1.2128287553787231,0.0003,0.10000000149011612,4.0285444259643555,315295
874.09,328893,440,40.014787940000005,47,6991,4.619661808013916,0.0003,0.10000000149011612,1.4080040454864502,318892
869.56,332440,444,41.969938320000004,47,7070,1.4829015731811523,0.0003,0.10000000149011612,2.079437732696533,322439
854.83,334924,448,47.4487487,47,7125,7.698737621307373,0.0003,0.10000000149011612,3.397707223892212,324923
844.74,337229,452,51.72110836000001,46,7177,2.0415406227111816,0.0003,0.10000000149011612,1.3016973733901978,327228
