rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/std,train/n_updates,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/value_loss,train/approx_kl,train/explained_variance
1146.48,-18.802572170000005,159744,520,78,306,18.76067543029785,-3.930700247734785,0.6481814384460449,770,-0.0056940022368507925,0.18,0.0003,0.10458984375,28.376626568287612,0.009224611,0.8944043964147568
1160.99,-16.093957080000006,161792,521,79,310,15.492034912109375,-3.9348891615867614,0.6491216421127319,780,-0.005285949187236838,0.18,0.0003,0.1443359375,53.33321128413081,0.008406604,0.780371218919754
1171.25,-13.050603300000002,163840,521,80,313,1.766716718673706,-3.9258631616830826,0.6472435593605042,790,-0.0067751865615719,0.18,0.0003,0.18310546875,2.6611098015680907,0.009539089,0.38142627477645874
1156.55,-10.147908629999998,165888,522,81,317,40.80845642089844,-3.932041086256504,0.6481730937957764,800,-0.010655568819493056,0.18,0.0003,0.135791015625,82.66035543084145,0.007998541,0.6881437003612518
1156.55,-8.03523455,167936,522,82,321,18.449125289916992,-3.9338262781500815,0.6476517915725708,810,-0.009596713943756186,0.18,0.0003,0.088330078125,119.92952436804771,0.0070685046,0.7061350643634796
1111.78,-6.916184609999998,169984,523,83,324,3.0128986835479736,-3.9139402814209463,0.641862690448761,820,-0.008553948870394379,0.18,0.0003,0.122509765625,6.550051433593035,0.008339725,-0.21991205215454102
1111.78,-5.005156649999998,172032,523,84,328,39.433189392089844,-3.89963835850358,0.6431971788406372,830,-0.007673818344483152,0.18,0.0003,0.093505859375,97.7903390467167,0.0063706446,0.8004996478557587
1111.78,-0.5607887699999978,174080,524,85,332,2.8170759677886963,-3.902464951574802,0.6424703001976013,840,-0.008232581437914633,0.18,0.0003,0.148583984375,6.707258294522762,0.013464272,-0.7117787599563599
1110.81,0.30930506000000074,176128,524,86,335,0.4314051568508148,-3.8780141532421113,0.6355466246604919,850,-0.007102282579580788,0.18,0.0003,0.19970703125,1.7712698586285114,0.016327133,0.2328357696533203
1114.61,2.977471730000001,178176,525,87,339,1.0808699131011963,-3.8594201005995274,0.6360899209976196,860,-0.007354207665048307,0.18,0.0003,0.126904296875,10.25848639383912,0.008534697,0.8906750530004501
1107.8,5.151142860000001,180224,525,88,342,4.742481708526611,-3.859083581715822,0.6351243257522583,870,-0.00631848788325442,0.18,0.0003,0.06455078125,27.697028222680093,0.004248372,0.8338966369628906
1115.98,7.978225760000002,182272,526,89,346,0.9495609998703003,-3.8551915884017944,0.6358024477958679,880,-0.007735964896710357,0.18,0.0003,0.127392578125,21.605108362063767,0.00865547,0.9211284592747688
1119.24,10.66651314,184320,526,90,350,3.0770552158355713,-3.8510231256484984,0.6327474117279053,890,-0.003114429873676272,0.18,0.0003,0.105322265625,10.225151333212853,0.009457271,0.3464588522911072
1119.24,12.549007370000002,186368,526,91,353,0.6032907366752625,-3.808156756311655,0.6234558820724487,900,-0.006829983578063548,0.18,0.0003,0.1951171875,1.417772595025599,0.01639988,0.6274076402187347
1111.87,15.268925219999996,188416,527,92,357,0.44679027795791626,-3.756262372434139,0.6159961223602295,910,-0.007164691801881418,0.18,0.0003,0.206494140625,1.1945640357211231,0.0119564785,0.630395382642746
1093.91,15.31634536,190464,527,93,360,21.253524780273438,-3.72929749712348,0.6154347062110901,920,-0.006422170960286166,0.18,0.0003,0.049365234375,46.79408783912659,0.004744087,0.8509395867586136
1080.59,17.387184870000002,192512,528,94,364,61.36716079711914,-3.729183825105429,0.6158484220504761,930,-0.00755975946522085,0.18,0.0003,0.052294921875,71.04335323423147,0.0064718244,0.8564518988132477
1083.54,20.06049273,194560,528,95,368,13.36608600616455,-3.730237403512001,0.6157276034355164,940,-0.005405269449693151,0.18,0.0003,0.023876953125,110.5043273448944,0.0035145578,0.884087823331356
1058.04,19.60588696,196608,528,96,371,4.000675678253174,-3.7283585995435713,0.6153178215026855,950,-0.006676227795833256,0.18,0.0003,0.08154296875,16.216391386091708,0.00680947,0.3473544716835022
1068.37,22.62666313999999,198656,529,97,375,52.596031188964844,-3.7284557223320007,0.6156994104385376,960,-0.005938859632442473,0.18,0.0003,0.0513671875,105.85867002308369,0.006212875,0.8431431949138641
1068.37,24.207880219999996,200704,529,98,379,19.240188598632812,-3.7327239595353605,0.6160450577735901,970,-0.00652523782409844,0.18,0.0003,0.064990234375,43.88449605852365,0.0061397934,0.8733886778354645
1068.37,25.717506969999995,202752,529,99,382,1.2669274806976318,-3.7286797307431696,0.6160118579864502,980,-0.005887296047876589,0.18,0.0003,0.16318359375,5.837078766897321,0.014203565,-1.089491367340088
1072.53,28.28246376,204800,530,100,386,0.40993520617485046,-3.72008722871542,0.6126807928085327,990,-0.006330475881986786,0.18,0.0003,0.2283203125,1.0321842039003968,0.0140061695,0.5968664288520813
1072.41,30.16227816,206848,530,101,389,0.3541913330554962,-3.704408668726683,0.6105479001998901,1000,-0.009341481354204007,0.18,0.0003,0.19951171875,0.7552094386890531,0.013011869,0.7996701002120972
1072.41,31.561526470000004,208896,530,102,393,12.115757942199707,-3.699414061009884,0.6113741397857666,1010,-0.006268655869644135,0.18,0.0003,0.101318359375,48.04215665943921,0.0072811646,0.7764430195093155
1051.12,31.49490804,210944,531,103,397,0.2514582872390747,-3.676857931166887,0.6051220297813416,1020,-0.0073159870127710745,0.18,0.0003,0.162939453125,0.8298237616196275,0.009800617,0.49009084701538086
1051.12,33.002409070000006,212992,531,104,400,18.49204444885254,-3.66194566860795,0.6055971384048462,1030,-0.004848108252917882,0.18,0.0003,0.096337890625,52.369126790761946,0.006712952,0.8657079041004181
