time/fps,train/learning_rate,train/ent_coef_loss,time/total_timesteps,time/episodes,train/critic_loss,rollout/ep_rew_mean,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/n_updates
46,0.0003,-0.4622234106063843,41600,208,0.39751431345939636,-137.65638843,23.64336585998535,898,200.0,0.03406672924757004,41499
46,0.0003,-0.7159076929092407,42400,212,0.767216682434082,-138.83421105000002,24.061626434326172,915,200.0,0.03205035999417305,42299
46,0.0003,0.18057303130626678,43200,216,0.340620219707489,-140.04364764,20.722824096679688,932,200.0,0.03185174986720085,43099
46,0.0003,-0.29944759607315063,44000,220,0.6948809623718262,-142.43952984999999,24.469709396362305,949,200.0,0.03255406394600868,43899
46,0.0003,0.03534609079360962,44800,224,0.7359411716461182,-138.94456554,21.78348159790039,967,200.0,0.031493496149778366,44699
46,0.0003,0.08373437821865082,45600,228,0.6848357915878296,-140.41509574999998,18.949501037597656,984,200.0,0.029180027544498444,45499
46,0.0003,0.055337294936180115,46400,232,0.4613838791847229,-140.46237100000002,21.193178176879883,1001,200.0,0.029196089133620262,46299
46,0.0003,-0.3552083969116211,47200,236,0.2808450162410736,-141.19564517999999,20.957012176513672,1018,200.0,0.02652842365205288,47099
46,0.0003,-1.1427247524261475,48000,240,0.4114336669445038,-143.49282279,17.01424789428711,1035,200.0,0.02598406933248043,47899
46,0.0003,0.7261729836463928,48800,244,0.3794885575771332,-143.36515976999996,21.463008880615234,1052,200.0,0.02500322461128235,48699
46,0.0003,0.2618332505226135,49600,248,0.557110071182251,-145.55736911999998,18.715694427490234,1069,200.0,0.023416386917233467,49499
46,0.0003,0.8366453647613525,50400,252,0.8740811347961426,-143.61487601000002,29.861289978027344,1087,200.0,0.020865364000201225,50299
46,0.0003,0.45021551847457886,51200,256,0.5867218375205994,-146.20679187,22.538665771484375,1104,200.0,0.020725371316075325,51099
46,0.0003,1.1990607976913452,52000,260,0.6979674100875854,-146.35145573000003,20.359914779663086,1121,200.0,0.021994933485984802,51899
46,0.0003,0.3440377414226532,52800,264,0.8098127841949463,-146.45660951999997,22.538806915283203,1138,200.0,0.025168387219309807,52699
46,0.0003,0.2733277678489685,53600,268,0.7450932264328003,-144.15057562,24.08399200439453,1155,200.0,0.02455463632941246,53499
46,0.0003,0.5594073534011841,54400,272,0.34374040365219116,-145.21645408999998,18.92380142211914,1172,200.0,0.02340117283165455,54299
46,0.0003,-1.1666659116744995,55200,276,0.2747633457183838,-145.24777781000003,17.309040069580078,1189,200.0,0.024782145395874977,55099
46,0.0003,-0.8924812078475952,56000,280,0.23448172211647034,-144.17874659000003,17.60301971435547,1207,200.0,0.023564515635371208,55899
46,0.0003,1.0190430879592896,56800,284,0.4019550085067749,-143.08239346,22.94593048095703,1224,200.0,0.02348393201828003,56699
46,0.0003,-0.7493897676467896,57600,288,0.5079035758972168,-141.96658687,22.00782585144043,1241,200.0,0.020484939217567444,57499
46,0.0003,0.510279655456543,58400,292,0.5535998940467834,-143.08248727,22.367534637451172,1258,200.0,0.02317114546895027,58299
46,0.0003,0.43657225370407104,59200,296,0.7423317432403564,-141.76887843,20.434120178222656,1276,200.0,0.021567564457654953,59099
46,0.0003,0.12350378930568695,60000,300,0.2268660068511963,-139.2199213,25.058534622192383,1293,200.0,0.019711533561348915,59899
46,0.0003,-0.33496421575546265,60800,304,0.3508211374282837,-143.31085302000002,19.606420516967773,1310,200.0,0.022212548181414604,60699
