train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,time/fps,train/n_updates
224.37399291992188,-187.71622841000004,101291,0.001,436,2144,253.56,-169.37306213378906,47,101190
80.66864776611328,-186.54378488000003,102057,0.001,440,2164,239.67,-165.5299072265625,47,101956
60.539955139160156,-183.80642034000002,102858,0.001,444,2185,237.43,-169.7207489013672,47,102757
48.54297637939453,-177.49333432999995,103637,0.001,448,2205,235.85,-183.79840087890625,46,103536
153.9839324951172,-180.05891346,105045,0.001,452,2242,239.67,-183.69020080566406,46,104944
93.75686645507812,-178.16157267,105799,0.001,456,2262,230.81,-174.10507202148438,46,105698
239.65298461914062,-177.4263699,106667,0.001,460,2285,231.69,-178.97509765625,46,106566
92.9046401977539,-174.71349733000002,107392,0.001,464,2305,232.97,-175.5559539794922,46,107291
33.60995101928711,-163.7231224,108968,0.001,468,2346,239.26,-172.7505645751953,46,108867
39.79242706298828,-159.7505177,110480,0.001,472,2387,246.5,-177.84373474121094,46,110379
50.69260787963867,-148.64983390999998,112860,0.001,476,2449,264.08,-174.53504943847656,46,112759
324.02398681640625,-149.47539273,114677,0.001,480,2497,276.83,-172.42442321777344,45,114576
106.98141479492188,-143.73516131,115205,0.001,484,2511,274.55,-170.01214599609375,45,115104
91.74588012695312,-141.33788425999998,116025,0.001,488,2533,272.98,-169.06732177734375,45,115924
26.195280075073242,-137.36398987,116716,0.001,492,2552,272.58,-178.83517456054688,45,116615
62.48276901245117,-135.29951082000002,117190,0.001,496,2565,270.89,-172.02737426757812,45,117089
255.82566833496094,-135.45386988,117934,0.001,500,2585,271.13,-174.83763122558594,45,117833
43.14101791381836,-133.60180818999999,119066,0.001,504,2615,275.57,-173.15753173828125,45,118965
33.549049377441406,-133.94520248,120328,0.001,508,2649,272.84,-170.11196899414062,45,120227
45.07998275756836,-134.72433068,121023,0.001,512,2667,263.81,-168.31497192382812,45,120922
52.61109161376953,-136.66525105,122500,0.001,516,2707,268.22,-168.49359130859375,45,122399
92.68356323242188,-132.9952735,123366,0.001,520,2731,269.99,-167.43536376953125,45,123265
45.419185638427734,-133.58742965000002,124272,0.001,524,2755,263.64,-163.27362060546875,45,124171
34.60124206542969,-133.40553074,125506,0.001,528,2788,264.56,-165.64816284179688,45,125405
291.7247009277344,-134.85334272000003,127172,0.001,532,2832,273.9,-161.24417114257812,44,127071
136.57162475585938,-133.02465322999998,129506,0.001,536,2896,282.15,-152.49752807617188,44,129405
70.7778549194336,-134.81532708,131265,0.001,540,2943,292.08,-140.57020568847656,44,131164
33.831634521484375,-134.15930207,132691,0.001,544,2981,298.33,-147.1278533935547,44,132590
35.098602294921875,-136.98635193,133859,0.001,548,3012,302.22,-146.10064697265625,44,133758
86.55195617675781,-139.85901164999999,135237,0.001,552,3049,301.92,-145.21319580078125,44,135136
85.65977478027344,-146.93967907,136916,0.001,556,3094,311.17,-149.70025634765625,44,136815
51.95178985595703,-145.67165206,138178,0.001,560,3128,315.11,-146.26463317871094,44,138077
