train/n_updates,time/fps,time/time_elapsed,train/learning_rate,time/episodes,time/total_timesteps,train/loss,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean
126466,810,623,0.0001,852,505966,0.2899737060070038,0.05,45.990170260000006,667.13
127136,810,627,0.0001,856,508648,1.0286246538162231,0.05,49.065618410000006,654.15
127554,810,629,0.0001,860,510317,0.29006919264793396,0.05,43.72690443,646.93
128454,810,633,0.0001,864,513918,0.31023260951042175,0.05,44.35412269999999,663.78
129233,810,637,0.0001,868,517035,0.3582245707511902,0.05,43.55017957999999,670.92
130233,810,642,0.0001,872,521035,0.314553827047348,0.05,43.62511314,692.68
131077,810,646,0.0001,876,524409,0.23592683672904968,0.05,42.920536289999994,692.11
131999,810,651,0.0001,880,528100,0.26357004046440125,0.05,40.63508916999999,697.2
132906,810,655,0.0001,884,531728,0.35711026191711426,0.05,35.983690069999994,710.22
133786,810,660,0.0001,888,535245,4.513759136199951,0.05,40.42734654,711.16
134720,810,664,0.0001,892,538983,0.7833707332611084,0.05,43.36402421999998,722.95
135434,810,668,0.0001,896,541838,0.1956889033317566,0.05,46.803917229999996,723.56
135952,810,671,0.0001,900,543910,0.3075847923755646,0.05,45.811553379999985,715.03
136770,810,675,0.0001,904,547182,0.3404879570007324,0.05,49.63909071,707.75
137421,810,678,0.0001,908,549785,0.41267096996307373,0.05,53.19630229000001,708.66
138209,810,682,0.0001,912,552940,0.20807290077209473,0.05,54.70909657,714.29
138985,810,686,0.0001,916,556044,0.3025992512702942,0.05,52.13088081,725.77
139762,810,690,0.0001,920,559150,0.2729179561138153,0.05,48.750400760000005,736.2
140762,810,695,0.0001,924,563150,0.20119397342205048,0.05,44.83049187,753.88
141552,810,699,0.0001,928,566310,1.155882477760315,0.05,45.01409165,761.02
142041,810,701,0.0001,932,568266,0.22589683532714844,0.05,50.621187199999994,752.4
142988,810,706,0.0001,936,572055,0.5202375650405884,0.05,52.98477048999999,769.26
143805,810,710,0.0001,940,575322,0.3442750871181488,0.05,52.03330868000002,761.93
144775,810,714,0.0001,944,579203,3.324784278869629,0.05,49.279565860000005,776.26
145529,810,718,0.0001,948,582219,0.25913918018341064,0.05,48.83266494,785.95
146175,810,721,0.0001,952,584803,0.34513938426971436,0.05,44.011557380000006,788.37
147068,810,726,0.0001,956,588374,0.32671624422073364,0.05,43.3145374,797.26
147841,810,730,0.0001,960,591467,0.33504921197891235,0.05,45.60959704,811.5
148419,810,733,0.0001,964,593779,0.11865194886922836,0.05,44.52553858,798.61
149124,810,736,0.0001,968,596597,0.2848368287086487,0.05,45.653935530000005,795.62
149650,809,739,0.0001,972,598703,0.29469290375709534,0.05,48.78286276000001,776.68
