time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/learning_rate,time/episodes,time/fps,train/n_updates
40885,0.7410616666666663,109.12,40,-126.57934809,0.5725107789039612,0.0001,400,1014,10196
41362,0.738040666666667,110.17,40,-129.16113266,0.5716598033905029,0.0001,404,1014,10315
41772,0.7354440000000002,110.23,41,-129.07682627,0.9684069752693176,0.0001,408,1014,10417
42136,0.7331386666666663,108.9,41,-128.70520496,4.0048041343688965,0.0001,412,1013,10508
42480,0.7309599999999998,107.35,41,-125.45204714000002,0.4991162121295929,0.0001,416,1013,10594
42975,0.7278250000000005,106.86,42,-125.54239592999998,3.806846857070923,0.0001,420,1013,10718
44161,0.7203136666666666,114.39,43,-124.94293419000002,0.5426952242851257,0.0001,424,1012,11015
44611,0.7174636666666669,114.27,44,-123.80627942999999,0.7062853574752808,0.0001,428,1011,11127
45182,0.7138473333333333,115.46,44,-123.69841783,0.564834475517273,0.0001,432,1011,11270
45718,0.7104526666666668,117.31,45,-123.76814603000003,1.4487838745117188,0.0001,436,1011,11404
46275,0.7069249999999996,119.34,45,-123.72529422999997,0.5077017545700073,0.0001,440,1010,11543
46921,0.7028336666666671,122.2,46,-125.02994675,0.42557501792907715,0.0001,444,1010,11705
47450,0.6994833333333337,122.63,46,-123.47817310999999,0.4286671578884125,0.0001,448,1010,11837
48005,0.6959683333333329,124.33,47,-119.39838873,0.4415631592273712,0.0001,452,1009,11976
48535,0.6926116666666664,125.29,48,-117.72799409,1.1768066883087158,0.0001,456,1009,12108
49009,0.6896096666666666,125.64,48,-117.27121863999999,0.2437196969985962,0.0001,460,1009,12227
49432,0.6869306666666666,124.58,48,-117.14470013000002,1.5613739490509033,0.0001,464,1009,12332
49954,0.6836246666666663,124.95,49,-119.28057015000002,1.1163190603256226,0.0001,468,1008,12463
50428,0.6806226666666666,126.54,50,-120.30795271000001,0.9951488375663757,0.0001,472,1008,12581
50914,0.6775446666666667,126.14,50,-118.982157,3.5792269706726074,0.0001,476,1007,12703
51474,0.6739979999999999,127.99,51,-119.36477345000002,3.709810733795166,0.0001,480,1007,12843
51991,0.6707236666666667,128.86,51,-118.79682550000001,0.4318543076515198,0.0001,484,1007,12972
52524,0.6673479999999996,129.11,52,-117.03139052,0.4137279987335205,0.0001,488,1006,13105
53006,0.6642953333333333,129.61,52,-115.34661021,0.3815358877182007,0.0001,492,1006,13226
53442,0.6615340000000001,129.55,53,-114.23236121,0.3882405161857605,0.0001,496,1005,13335
53999,0.6580063333333329,131.14,53,-112.64093265,0.6695336699485779,0.0001,500,1005,13474
54512,0.6547573333333333,131.5,54,-109.93118448999999,0.19043366611003876,0.0001,504,1005,13602
55006,0.6516286666666671,132.34,54,-108.34989265000002,2.0450427532196045,0.0001,508,1004,13726
55572,0.6480440000000003,134.36,55,-107.70118547000001,0.6907607913017273,0.0001,512,1004,13867
56053,0.6449976666666661,135.73,55,-106.56098052999998,3.633822441101074,0.0001,516,1004,13988
56506,0.642128666666667,135.31,56,-105.07050582999999,0.40777021646499634,0.0001,520,1003,14101
57124,0.6382146666666663,129.63,56,-104.42929371,0.7886843681335449,0.0001,524,1003,14255
57716,0.6344653333333331,131.05,57,-103.38838909000003,0.6166403889656067,0.0001,528,1002,14403
58377,0.6302789999999999,131.95,58,-106.15670252,0.4767596125602722,0.0001,532,1002,14569
58999,0.6263396666666665,132.81,58,-108.10297959000002,0.5109933614730835,0.0001,536,1001,14724
59672,0.6220773333333334,133.97,59,-111.00926471999998,0.7810602188110352,0.0001,540,1001,14892
60057,0.6196389999999998,131.36,60,-107.37228963000001,0.6812441349029541,0.0001,544,1000,14989
60627,0.6160290000000005,131.77,60,-108.05741653999999,2.4850170612335205,0.0001,548,1000,15131
62834,0.6020513333333334,148.29,62,-105.21664032999999,3.7407474517822266,0.0001,552,997,15683
63278,0.5992393333333337,147.43,63,-104.37274401999998,0.6787666082382202,0.0001,556,996,15794
63880,0.5954266666666668,148.71,64,-103.6255228,4.665030002593994,0.0001,560,996,15944
64494,0.5915379999999997,150.62,64,-102.97984876999999,1.2866339683532715,0.0001,564,996,16098
65262,0.5866740000000001,153.08,65,-102.72581297,3.7614142894744873,0.0001,568,995,16290
66081,0.5814869999999996,156.53,66,-99.04360711000001,4.051048755645752,0.0001,572,994,16495
67168,0.574602666666667,162.54,67,-98.98570430999999,0.6415910124778748,0.0001,576,993,16766
67900,0.5699666666666665,164.26,68,-97.17268136000001,0.7668503522872925,0.0001,580,993,16949
68609,0.5654763333333331,166.18,69,-97.51678731000001,0.9104333519935608,0.0001,584,992,17127
69707,0.5585223333333336,171.83,70,-96.88236103,0.7915232181549072,0.0001,588,991,17401
71242,0.5488006666666665,182.36,71,-96.00301101,7.536215305328369,0.0001,592,989,17785
